rodada,time_mandante,gols_mandante,time_visitante,gols_visitante
1,Atlético-MG,2,Palmeiras,2
1,Internacional,0,Athletico-PR,1
1,Coritiba,0,Bragantino,1
1,Vitória,2,Remo,0
1,Fluminense,2,Grêmio,1
1,Corinthians,1,Bahia,2
1,Chapecoense,4,Santos,2
1,São Paulo,2,Flamengo,1
1,Mirassol,2,Vasco,1
1,Botafogo,4,Cruzeiro,0
2,Flamengo,1,Internacional,1
2,Bragantino,1,Atlético-MG,0
2,Santos,1,São Paulo,1
2,Remo,2,Mirassol,2
2,Palmeiras,5,Vitória,1
2,Grêmio,5,Botafogo,3
2,Bahia,1,Fluminense,1
2,Vasco,1,Chapecoense,1
2,Cruzeiro,1,Coritiba,2
2,Athletico-PR,0,Corinthians,1
3,Vitória,1,Flamengo,2
3,Mirassol,2,Cruzeiro,2
3,Chapecoense,3,Coritiba,3
3,Atlético-MG,3,Remo,3
3,Vasco,0,Bahia,1
3,São Paulo,2,Grêmio,0
3,Athletico-PR,2,Santos,1
3,Fluminense,1,Botafogo,0
3,Corinthians,2,Bragantino,0
3,Internacional,1,Palmeiras,3
4,Bragantino,1,Athletico-PR,1
4,Remo,1,Internacional,1
4,Coritiba,0,São Paulo,1
4,Cruzeiro,1,Corinthians,1
4,Palmeiras,2,Fluminense,1
4,Grêmio,2,Atlético-MG,1
4,Santos,2,Vasco,1
4,Bahia,2,Chapecoense,0
4,Botafogo,0,Vitória,0
4,Flamengo,2,Mirassol,0
5,Mirassol,2,Santos,2
5,Atlético-MG,1,Internacional,0
5,Bahia,1,Vitória,1
5,Flamengo,2,Cruzeiro,0
5,Corinthians,0,Coritiba,2
5,Remo,0,Fluminense,2
5,Vasco,2,Palmeiras,1
5,São Paulo,2,Chapecoense,0
5,Grêmio,1,Bragantino,1
5,Athletico-PR,4,Botafogo,1
6,Vitória,2,Atlético-MG,0
6,Botafogo,0,Flamengo,3
6,Internacional,0,Bahia,1
6,Fluminense,3,Athletico-PR,2
6,Santos,1,Corinthians,1
